id,??,??,??,??,??,??,??,WI,NTL_mean,road,dem
BD201800000001,0,0,1.07316,0,67.40007,0,9.58347,1.931034483,0.249877928,6.57,9.480417755
BD201800000002,0,0,0,0,99.9985,0,0,2.066666667,0.28081128,25.08,80.4522293
BD201800000003,0,0.5755,2.44964,0,80.76384,0,16.20955,2.896551724,0.343100408,2.43,11.16428571
BD201800000004,0,2.16176,5.88866,0,89.97851,0,1.96962,2.8,0.362363319,17.34,2.992125984
BD201800000005,0,0,2.65495,0,90.14304,0,7.20052,2.517241379,0.284135391,13.64,6.064285714
BD201800000006,0,0,0.86518,0,74.69678,0,1.02596,1.482758621,0.24778258,23.65,9.090702948
BD201800000007,0,0,72.18265,0,26.04474,0,1.77117,3.75862069,0.407691603,10.34,19.81428571
BD201800000008,0.02253,0,8.35541,0,73.53662,0,18.08396,3.428571429,0.297536368,5.85,29.71428571
BD201800000009,0.31716,0,2.63451,0,85.04074,0,12.00608,2.633333333,0.290178491,0,71.98866213
BD201800000010,0,0,5.52519,0,85.23883,0,9.23451,3,0.282303661,0,14.80714286
BD201800000011,0,0.62688,46.97251,0,44.54287,0.07154,7.7847,3,0.40999424,5.76,12.28089888
BD201800000012,0,0,36.2817,0,59.8504,0,3.86642,3.233333333,0.318384382,0,6.15952381
BD201800000013,0.48946,0,4.45988,0,76.09996,0,18.94924,3.259259259,0.289954032,0,36.76
BD201800000014,0.13989,0,6.98222,0,71.74123,0,21.1352,2.785714286,0.451854495,0.06,15.93197279
BD201800000015,3.31239,0,3.34444,0.39735,52.07572,0,40.86858,1.533333333,0.243912345,0,12.50566893
BD201800000016,2.30203,0.06691,11.58802,0.31344,52.17885,0,33.54924,1.607142857,0.267386934,0,9.802380952
BD201800000017,0,0,6.50752,0,71.36481,0,22.12623,3.068965517,0.294379165,0,144.6077098
BD201800000018,0,0,11.67655,0,82.43963,0,5.88234,3.266666667,0.506425481,17.21,35.015
BD201800000019,0.20896,0,61.87477,0,34.82518,0,3.08962,3.821428571,0.327539849,4.26,19.18820862
BD201800000020,0,0,17.90031,0.01137,80.86991,0,1.21695,1.666666667,0.370598125,8.84,7.897619048
BD201800000021,0,1.41214,23.23107,0,73.00234,0,2.35299,3.035714286,0.855026963,14.99,6.116666667
BD201800000022,0,0,14.42198,1.13632,74.34925,0,10.09097,2.730769231,0.611126501,7.78,21.7125
BD201800000023,0,0,13.04506,0,86.95345,0,0,3.1,0.27980435,0,11.7755102
BD201800000024,0.31344,0,0.56943,0,92.64763,0,0.6397,1.178571429,0.282724428,1.15,204.814059
BD201800000025,0,0,0.47023,0,98.80547,0,0.009,1.8,0.271051967,8.77,33.7775
BD201800000026,2.11064,0,7.26845,3.97934,77.41161,0,9.22845,3.035714286,0.349596035,6.87,25.41723356
BD201800000027,0.00542,0,11.935,0.00542,78.50853,0,9.54413,2.642857143,0.269882066,0,8.485260771
BD201800000028,0,0,0,0,42.00368,0,1.11244,2.214285714,0.236934464,0,15.18367347
BD201800000029,0.12689,0,14.97381,2.37853,81.02231,0,1.19789,2.633333333,0.355441837,0,4.633928571
BD201800000030,0.14578,0,21.1501,0,76.07558,0,2.62705,3.481481481,0.363435638,13.73,10.66213152
BD201800000031,0,0,4.55691,0,95.44162,0,0,2.7,0.27696582,0,4.457142857
BD201800000032,0,0,4.89589,0,87.76506,0,7.33758,1.793103448,0.283020265,0,15.3625
BD201800000033,0,0,10.68888,0,89.30965,0,0,3.172413793,0.334926334,31.76,10.72562358
BD201800000034,0.02566,0,0.1423,0,89.26434,0,10.56621,3.033333333,0.287474077,9.05,6.9075
BD201800000035,1.80099,0,0.689,0.56109,56.44588,0,40.50156,1.24137931,0.24029316,0,3.192771084
BD201800000036,0.24714,0,0,0.17139,54.49111,0,3.5616,1.133333333,0.220006691,0,14.87755102
BD201800000037,0.42258,0,0.07186,0.17139,65.04283,0,1.71506,1.233333333,0.241747377,0,3.394077449
BD201800000038,0.13845,0,0.75075,0,90.13518,0,8.97412,1.740740741,0.243646295,18.23,7.857142857
BD201800000039,0,0,0,0,98.108,0,1.8905,2.366666667,0.278997346,8.12,40.4516129
BD201800000040,0.66378,0,0.10448,0,40.5278,0,2.86822,1.4,0.232398284,0,15.34047619
BD201800000041,0,0,2.87827,0,92.85829,0,4.26198,2.633333333,0.285369169,3.7,33.31428571
BD201800000042,0.2805,0,0,0,97.72131,0,1.9967,1.7,0.265440153,5.76,15.77857143
BD201800000043,0,0,8.02305,0,70.94764,0,21.02782,3.275862069,0.314654212,9.94,110.2131519
BD201800000044,0.20896,0,11.41284,0,71.66551,0,16.7112,3.1,0.287086866,12.47,7.032467532
BD201800000045,0,0.97624,5.99961,0,93.02267,0,0,2.793103448,0.369131928,12.87,5.259668508
BD201800000046,0,0,53.16764,0,38.37067,0,8.46023,2.592592593,0.269653685,0,7.138095238
BD201800000047,0,0,15.91327,0,74.11755,0,9.96771,2.482758621,0.272885314,10.36,205.8471074
BD201800000048,0,0.12763,57.47373,0,36.80949,0,5.58768,2.5,0.286504508,0,59.55555556
BD201800000049,0,0.62688,48.71216,0,43.92246,0.07154,6.66546,3.413793103,0.397043891,4.01,31.7845805
BD201800000050,0,0,1.42468,0,81.1621,0,17.41171,2.551724138,0.284694431,0,11.30769231
BD201800000051,0,0,2.51713,0,71.9933,0,25.48809,1.666666667,0.274736029,13.15,4.512019231
BD201800000052,0,0.20896,42.02238,0,50.61135,0,7.15582,1.9,0.349690575,15.95,16.08095238
BD201800000053,2.60283,0.06691,12.82817,0.31344,52.53751,0,31.64962,1.2,0.26840163,0,55.8675
