id,WI,dem,urban_near,road_near,耕地面积,林地面积,草地面积,湿地面积,城市面积,裸地面积,水体面积,NTL_mean
BD201400000001,1.730769231,5.75952381,21023.68148,5303.945214,91162587.8,0,0,0,0,0,8835913.836,0.059740959
BD201400000002,1.965517241,5.693181818,14566.61573,4040.892924,91162587.8,0,0,0,0,0,398704.9291,0.074666413
BD201400000003,1.75862069,5.364285714,8990.41623,2974.200862,91162587.8,750674.2902,0,0,0,0,17429111.9,0.075867214
BD201400000004,2.666666667,6.126794258,4456.71978,1628.881214,91162587.8,5297119.484,0,0,741346.315,0,466975.5605,0.147067162
BD201400000005,2.230769231,5.634920635,16429.77753,3467.58328,91162587.8,1776166.782,0,0,0,0,5647662.63,0.0873916
BD201400000006,2.033333333,4.864285714,17863.7326,656.7849397,91162587.8,2292003.052,0,0,0,0,7206480.738,0.094336049
BD201400000007,2.655172414,7.028571429,23413.52367,991.2625185,91162587.8,63027775.11,0,0,0,0,1550713.325,0.179957913
BD201400000008,3.166666667,7.873809524,18123.92907,11395.13529,91162587.8,20617615.95,0,0,0,0,5750405.754,0.149764005
BD201400000009,2.724137931,5.671428571,11925.36823,12503.30424,91162587.8,5208588.965,313441.1968,0,0,488468.838,12927076.25,0.104155499
BD201400000010,2.2,4.433333333,15770.29701,16171.87045,91162587.8,522401.9946,522401.9946,0,0,0,19156014.37,0.162125909
BD201400000011,2.24137931,6.011337868,24363.56817,10013.61175,91162587.8,42064502.18,0,0,0,0,3938111.425,0.094224548
BD201400000012,2.533333333,7.49047619,20275.66557,1408.102276,91162587.8,45705827.13,0,0,0,0,1707268.586,0.234757051
BD201400000013,3.321428571,5.611363636,26347.37243,23519.07435,91162587.8,7442294.659,491633.792,0,0,0,14069159.91,0.134919682
BD201400000014,3.586206897,6.504761905,2891.2378,3660.442187,91162587.8,9851425.379,104480.3989,0,4288403.913,0,6063307.691,0.906066325
